Generación,Mejor Posición Global,Fitness
119,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
120,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
121,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
122,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
123,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
124,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
125,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
126,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
127,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
128,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
129,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
130,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
131,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
132,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
133,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
134,"{'x1': 93.24101804143379, 'x2': 0, 'x3': 239.2926782021551, 'y1': 0, 'y2': 240.0, 'w1': 0, 'w2': 6000.0, 'w3': 6000.0, 'w4': 0}",973793.4072598614
